PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Terminal OXIQUIM Quintero,Cabotaje embarcado,2016,Carga general,,Valparaíso,"-32,76","-71,49"
Terminal OXIQUIM Quintero,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-32,76","-71,49"
Terminal OXIQUIM Quintero,Cabotaje embarcado,2016,Granel líquido,237.812,Valparaíso,"-32,76","-71,49"
Terminal OXIQUIM Quintero,Cabotaje desembarcado,2016,Carga general,,Valparaíso,"-32,76","-71,49"
Terminal OXIQUIM Quintero,Cabotaje desembarcado,2016,Granel sólido,,Valparaíso,"-32,76","-71,49"
Terminal OXIQUIM Quintero,Cabotaje desembarcado,2016,Granel líquido,,Valparaíso,"-32,76","-71,49"
Quintero,Cabotaje embarcado,2016,Carga general,5.860,Valparaíso,"-32,77","-71,5"
Quintero,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-32,77","-71,5"
Quintero,Cabotaje embarcado,2016,Granel líquido,2.955.535,Valparaíso,"-32,77","-71,5"
Quintero,Cabotaje desembarcado,2016,Carga general,218,Valparaíso,"-32,77","-71,5"
Quintero,Cabotaje desembarcado,2016,Granel sólido,,Valparaíso,"-32,77","-71,5"
Quintero,Cabotaje desembarcado,2016,Granel líquido,1.534.296,Valparaíso,"-32,77","-71,5"
Valparaíso,Cabotaje embarcado,2016,Carga general,139.305,Valparaíso,"-33,03","-71,63"
Valparaíso,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-33,03","-71,63"
Valparaíso,Cabotaje embarcado,2016,Granel líquido,,Valparaíso,"-33,03","-71,63"
Valparaíso,Cabotaje desembarcado,2016,Carga general,41.689,Valparaíso,"-33,03","-71,63"
Valparaíso,Cabotaje desembarcado,2016,Granel sólido,,Valparaíso,"-33,03","-71,63"
Valparaíso,Cabotaje desembarcado,2016,Granel líquido,,Valparaíso,"-33,03","-71,63"
San Antonio,Cabotaje embarcado,2016,Carga general,70.410,Valparaíso,"-33,59","-71,62"
San Antonio,Cabotaje embarcado,2016,Granel sólido,,Valparaíso,"-33,59","-71,62"
San Antonio,Cabotaje embarcado,2016,Granel líquido,1.034.147,Valparaíso,"-33,59","-71,62"
San Antonio,Cabotaje desembarcado,2016,Carga general,45.472,Valparaíso,"-33,59","-71,62"
San Antonio,Cabotaje desembarcado,2016,Granel sólido,163.815,Valparaíso,"-33,59","-71,62"
San Antonio,Cabotaje desembarcado,2016,Granel líquido,,Valparaíso,"-33,59","-71,62"
Lirquén,Cabotaje embarcado,2016,Carga general,27.306,Biobío,"-36,71","-72,97"
Lirquén,Cabotaje embarcado,2016,Granel sólido,,Biobío,"-36,71","-72,97"
Lirquén,Cabotaje embarcado,2016,Granel líquido,,Biobío,"-36,71","-72,97"
Lirquén,Cabotaje desembarcado,2016,Carga general,14.375,Biobío,"-36,71","-72,97"
Lirquén,Cabotaje desembarcado,2016,Granel sólido,,Biobío,"-36,71","-72,97"
Lirquén,Cabotaje desembarcado,2016,Granel líquido,,Biobío,"-36,71","-72,97"
Penco,Cabotaje embarcado,2016,Carga general,,Biobío,"-36,73","-73,01"
Penco,Cabotaje embarcado,2016,Granel sólido,,Biobío,"-36,73","-73,01"
Penco,Cabotaje embarcado,2016,Granel líquido,,Biobío,"-36,73","-73,01"
Penco,Cabotaje desembarcado,2016,Carga general,,Biobío,"-36,73","-73,01"
Penco,Cabotaje desembarcado,2016,Granel sólido,24.994,Biobío,"-36,73","-73,01"
Penco,Cabotaje desembarcado,2016,Granel líquido,,Biobío,"-36,73","-73,01"
San Vicente,Cabotaje embarcado,2016,Carga general,157.256,Biobío,"-36,73","-73,14"
San Vicente,Cabotaje embarcado,2016,Granel sólido,,Biobío,"-36,73","-73,14"
San Vicente,Cabotaje embarcado,2016,Granel líquido,2.569.725,Biobío,"-36,73","-73,14"
San Vicente,Cabotaje desembarcado,2016,Carga general,,Biobío,"-36,73","-73,14"
San Vicente,Cabotaje desembarcado,2016,Granel sólido,186.250,Biobío,"-36,73","-73,14"
San Vicente,Cabotaje desembarcado,2016,Granel líquido,1.439.690,Biobío,"-36,73","-73,14"
Terminal Siderúrgico Huachipato,Cabotaje embarcado,2016,Carga general,160,Biobío,"-36,74","-73,13"
Terminal Siderúrgico Huachipato,Cabotaje embarcado,2016,Granel sólido,113.050,Biobío,"-36,74","-73,13"
Terminal Siderúrgico Huachipato,Cabotaje embarcado,2016,Granel líquido,264,Biobío,"-36,74","-73,13"
Terminal Siderúrgico Huachipato,Cabotaje desembarcado,2016,Carga general,,Biobío,"-36,74","-73,13"
